slno,year,dtstrict,afso,fps,April_Cards,April_FRice (Kgs),April_Flood Dal (Kgs),April_Flood Onion (Kgs),April_Flood Poil (Kgs),April_Flood Potato (Kgs),April_Flood Rice (Kgs),April_Flood Sugar HK (Kgs),April_Jowar (Kgs),April_RG Dal One kg Pkt (Kgs),April_Raagi (Kgs),April_SUGAR HALF KG (Kgs),April_WM Atta Pkt (Kgs),April_Whole Wheat Atta (Kgs),February_Cards,February_FRice (Kgs),February_Flood Dal (Kgs),February_Flood Onion (Kgs),February_Flood Poil (Kgs),February_Flood Potato (Kgs),February_Flood Rice (Kgs),February_Flood Sugar HK (Kgs),February_Jowar (Kgs),February_RG Dal One kg Pkt (Kgs),February_Raagi (Kgs),February_SUGAR HALF KG (Kgs),February_WM Atta Pkt (Kgs),February_Whole Wheat Atta (Kgs),January_Cards,January_FRice (Kgs),January_Flood Dal (Kgs),January_Flood Onion (Kgs),January_Flood Poil (Kgs),January_Flood Potato (Kgs),January_Flood Rice (Kgs),January_Flood Sugar HK (Kgs),January_Jowar (Kgs),January_RG Dal One kg Pkt (Kgs),January_Raagi (Kgs),January_SUGAR HALF KG (Kgs),January_WM Atta Pkt (Kgs),January_Whole Wheat Atta (Kgs),March_Cards,March_FRice (Kgs),March_Flood Dal (Kgs),March_Flood Onion (Kgs),March_Flood Poil (Kgs),March_Flood Potato (Kgs),March_Flood Rice (Kgs),March_Flood Sugar HK (Kgs),March_Jowar (Kgs),March_RG Dal One kg Pkt (Kgs),March_Raagi (Kgs),March_SUGAR HALF KG (Kgs),March_WM Atta Pkt (Kgs),March_Whole Wheat Atta (Kgs)
1035,2026,Chittoor,Bangarupalem,1054090,162,2690.00,0,0,0,0,0,0,0,0,0,178.00,40.00,0,169,2775.00,0,0,0,0,0,0,0,0,0,183.00,138.00,0,149,2540.00,0,0,0,0,0,0,0,0,0,161.00,0,0,149,2565.00,0,0,0,0,0,0,0,0,0,164.00,27.00,0
1036,2026,Chittoor,Bangarupalem,1054091,814,14145.00,0,0,0,0,0,0,0,0,0,866.00,259.00,0,822,14240.00,0,0,0,0,0,0,0,0,0,876.00,615.00,0,827,14280.00,0,0,0,0,0,0,0,0,0,879.00,0,0,808,14010.00,0,0,0,0,0,0,0,0,1.00,857.00,345.00,0
1037,2026,Chittoor,Bangarupalem,1054092,192,3355.00,0,0,0,0,0,0,0,0,0,165.00,0,0,206,3505.00,0,0,0,0,0,0,0,0,0,215.00,0,0,207,3560.00,0,0,0,0,0,0,0,0,0,218.00,0,0,200,3530.00,0,0,0,0,0,0,0,0,0,209.00,0,0
1038,2026,Chittoor,Bangarupalem,1054093,369,6350.00,0,0,0,0,0,0,0,0,0,392.00,115.00,0,360,6245.00,0,0,0,0,0,0,0,0,0,382.00,250.00,0,377,6480.00,0,0,0,0,0,0,0,0,0,401.00,0,0,370,6360.00,0,0,0,0,0,0,0,0,0,393.00,0,0
1039,2026,Chittoor,Bangarupalem,1054094,333,5815.00,0,0,0,0,0,0,0,0,0,266.00,0,0,335,5890.00,0,0,0,0,0,0,0,0,0,348.00,200.00,0,330,5760.00,0,0,0,0,0,0,0,0,0,218.00,0,0,313,5520.00,0,0,0,0,0,0,0,0,0,331.00,0,0
1040,2026,Chittoor,Bangarupalem,1054095,280,4725.00,0,0,0,0,0,0,0,0,0,310.00,146.00,0,285,4383.00,0,0,0,0,0,0,0,0,300.00,306.00,240.00,0,290,4830.00,0,0,0,0,0,0,0,0,0,321.00,0,0,298,4880.00,0,0,0,0,0,0,0,0,0,314.00,78.00,0
1041,2026,Chittoor,Bangarupalem,1054096,262,4375.00,0,0,0,0,0,0,0,0,0,281.00,40.00,0,255,4115.00,0,0,0,0,0,0,0,0,0,262.00,204.00,0,258,4375.00,0,0,0,0,0,0,0,0,0,273.00,0,0,276,4325.00,0,0,0,0,0,0,0,0,0,254.00,66.00,0
1042,2026,Chittoor,Bangarupalem,1054097,165,2590.00,0,0,0,0,0,0,0,0,0,171.00,59.00,0,147,2400.00,0,0,0,0,0,0,0,0,0,156.00,143.00,0,163,2615.00,0,0,0,0,0,0,0,0,0,169.00,0,0,145,2315.00,0,0,0,0,0,0,0,0,0,153.00,27.00,0
1043,2026,Chittoor,Bangarupalem,1054098,129,2140.00,0,0,0,0,0,0,0,0,0,93.00,0,0,133,2200.00,0,0,0,0,0,0,0,0,0,131.00,121.00,0,145,2400.00,0,0,0,0,0,0,0,0,0,37.00,0,0,128,2130.00,0,0,0,0,0,0,0,0,0,133.00,27.00,0
1044,2026,Chittoor,Bangarupalem,1054099,252,4670.00,0,0,0,0,0,0,0,0,0,128.00,0,0,242,4430.00,0,0,0,0,0,0,0,0,0,136.00,0,0,260,4755.00,0,0,0,0,0,0,0,0,0,278.00,0,0,250,4575.00,0,0,0,0,0,0,0,0,0,0,0,0
1045,2026,Chittoor,Bangarupalem,1054100,212,3825.00,0,0,0,0,0,0,0,0,0,233.00,55.00,0,209,3820.00,0,0,0,0,0,0,0,0,0,230.00,198.00,0,220,4000.00,0,0,0,0,0,0,0,0,0,242.00,0,0,203,3412.00,0,0,0,0,0,0,298.00,0,0,222.00,199.00,0
1046,2026,Chittoor,Bangarupalem,1054101,361,6560.00,0,0,0,0,0,0,0,0,0,395.00,99.00,0,359,6374.00,0,0,0,0,0,0,0,0,11.00,391.00,308.00,0,351,6202.00,0,0,0,0,0,0,0,0,13.00,381.00,0,0,343,6165.00,0,0,0,0,0,0,0,0,0,373.00,116.00,0
1047,2026,Chittoor,Bangarupalem,1054102,52,715.00,0,0,0,0,0,0,0,0,1.00,51.00,50.00,0,45,635.00,0,0,0,0,0,0,0,0,0,25.00,0,0,49,675.00,0,0,0,0,0,0,0,0,0,50.00,0,0,46,640.00,0,0,0,0,0,0,0,0,0,7.00,0,0
1048,2026,Chittoor,Bangarupalem,1054103,161,2990.00,0,0,0,0,0,0,0,0,0,182.00,0,0,165,2985.00,0,0,0,0,0,0,0,0,0,188.00,0,0,166,3000.00,0,0,0,0,0,0,0,0,0,184.00,0,0,159,3000.00,0,0,0,0,0,0,0,0,0,165.00,0,0
1049,2026,Chittoor,Bangarupalem,1054104,143,2600.00,0,0,0,0,0,0,0,0,0,157.00,70.00,0,130,2365.00,0,0,0,0,0,0,0,0,0,123.00,0,0,143,2605.00,0,0,0,0,0,0,0,0,0,159.00,0,0,147,2510.00,0,0,0,0,0,0,200.00,0,0,163.00,0,0
1050,2026,Chittoor,Bangarupalem,1054105,234,3760.00,0,0,0,0,0,0,0,0,0,245.00,202.00,0,224,3665.00,0,0,0,0,0,0,0,0,0,235.00,218.00,0,221,3575.00,0,0,0,0,0,0,0,0,0,232.00,0,0,217,3590.00,0,0,0,0,0,0,0,0,0,228.00,211.00,0
1051,2026,Chittoor,Bangarupalem,1054107,140,2235.00,0,0,0,0,0,0,0,0,0,150.00,140.00,0,136,2235.00,0,0,0,0,0,0,0,0,0,147.00,132.00,0,138,2225.00,0,0,0,0,0,0,0,0,0,149.00,0,0,136,2235.00,0,0,0,0,0,0,0,0,0,148.00,8.00,0
1052,2026,Chittoor,Bangarupalem,1054108,333,5260.00,0,0,0,0,0,0,0,0,0,335.00,0,0,311,5055.00,0,0,0,0,0,0,0,0,0,302.00,0,0,325,5425.00,0,0,0,0,0,0,0,0,0,117.00,0,0,340,5265.00,0,0,0,0,0,0,0,0,0,92.00,0,0
1053,2026,Chittoor,Bangarupalem,1054110,280,4894.00,0,0,0,0,0,0,198.00,0,0,109.00,0,0,276,4880.00,0,0,0,0,0,0,0,0,0,297.00,100.00,0,266,4895.00,0,0,0,0,0,0,0,0,0,290.00,0,0,286,5102.00,0,0,0,0,0,0,85.00,0,0,311.00,0,0
1054,2026,Chittoor,Bangarupalem,1054111,110,1795.00,0,0,0,0,0,0,0,0,0,122.00,45.00,0,109,1655.00,0,0,0,0,0,0,0,0,0,115.00,95.00,0,105,1685.00,0,0,0,0,0,0,0,0,0,117.00,0,0,107,1705.00,0,0,0,0,0,0,0,0,0,115.00,5.00,0
1055,2026,Chittoor,Bangarupalem,1054112,277,4795.00,0,0,0,0,0,0,0,0,0,299.00,70.00,0,275,4810.00,0,0,0,0,0,0,0,0,0,299.00,273.00,0,281,4810.00,0,0,0,0,0,0,0,0,0,304.00,0,0,273,4510.00,0,0,0,0,0,0,300.00,0,0,298.00,184.00,0
1056,2026,Chittoor,Bangarupalem,1054113,172,2755.00,0,0,0,0,0,0,0,0,0,182.00,12.00,0,178,2835.00,0,0,0,0,0,0,0,0,0,189.00,0,0,168,2695.00,0,0,0,0,0,0,0,0,0,178.00,0,0,242,2445.00,0,0,0,0,0,0,200.00,0,0,168.00,61.00,0
1057,2026,Chittoor,Bangarupalem,1054114,86,1500.00,0,0,0,0,0,0,0,0,0,91.00,0,0,89,1445.00,0,0,0,0,0,0,0,0,0,86.00,80.00,0,86,1465.00,0,0,0,0,0,0,0,0,0,89.00,0,0,77,1325.00,0,0,0,0,0,0,0,0,0,78.00,12.00,0
1058,2026,Chittoor,Bangarupalem,1054115,128,2092.00,0,0,0,0,0,0,87.00,0,0,127.00,40.00,0,122,2140.00,0,0,0,0,0,0,0,0,0,130.00,103.00,0,106,1934.00,0,0,0,0,0,0,0,0,1.00,117.00,0,0,118,1938.00,0,0,0,0,0,0,113.00,0,0,125.00,83.00,0
1059,2026,Chittoor,Bangarupalem,1054117,259,4285.00,0,0,0,0,0,0,0,0,0,277.00,50.00,0,258,3952.00,0,0,0,0,0,0,0,0,300.00,272.00,0,0,263,4320.00,0,0,0,0,0,0,0,0,0,280.00,0,0,273,4211.00,0,0,0,0,0,0,0,0,0,213.00,0,0
1060,2026,Chittoor,Bangarupalem,1057001,223,3122.00,0,0,0,0,0,0,528.00,0,0,243.00,0,0,236,3945.00,0,0,0,0,0,0,0,0,0,259.00,0,0,235,3855.00,0,0,0,0,0,0,0,0,0,256.00,0,0,229,3477.00,0,0,0,0,0,0,378.00,0,0,252.00,0,0
1061,2026,Chittoor,Bangarupalem,1057002,302,4590.00,0,0,0,0,0,0,170.00,0,0,314.00,0,0,294,4660.00,0,0,0,0,0,0,0,0,0,313.00,0,0,298,4660.00,0,0,0,0,0,0,0,0,0,316.00,0,0,304,4175.00,0,0,0,0,0,0,630.00,0,0,316.00,0,0
1062,2026,Chittoor,Bangarupalem,1057003,295,4262.00,0,0,0,0,0,0,188.00,0,0,314.00,0,0,292,4455.00,0,0,0,0,0,0,0,0,0,316.00,0,0,283,4178.00,0,0,0,0,0,0,0,0,127.00,306.00,0,0,278,3487.00,0,0,0,0,0,0,778.00,0,0,301.00,0,0
1063,2026,Chittoor,Bangarupalem,1057004,249,3875.00,0,0,0,0,0,0,0,0,0,267.00,0,0,256,4000.00,0,0,0,0,0,0,0,0,0,273.00,0,0,257,4020.00,0,0,0,0,0,0,0,0,0,276.00,0,0,347,3535.00,0,0,0,0,0,0,500.00,0,0,240.00,0,0
1064,2026,Chittoor,Bangarupalem,1057005,348,5587.00,0,0,0,0,0,0,138.00,0,0,377.00,0,0,328,5350.00,0,0,0,0,0,0,0,0,0,354.00,0,0,341,5535.00,0,0,0,0,0,0,0,0,0,366.00,0,0,446,4955.00,0,0,0,0,0,0,600.00,0,0,294.00,0,0
1065,2026,Chittoor,Bangarupalem,1057006,455,6751.00,0,0,0,0,0,0,166.00,0,65.00,480.00,0,0,457,6961.00,0,0,0,0,0,0,0,0,39.00,482.00,0,0,450,6892.00,0,0,0,0,0,0,0,0,63.00,474.00,0,0,439,6034.00,0,0,0,0,0,0,530.00,0,81.00,448.00,0,0
1066,2026,Chittoor,Bangarupalem,1057007,258,4330.00,0,0,0,0,0,0,0,0,0,281.00,0,0,259,4360.00,0,0,0,0,0,0,0,0,0,283.00,0,0,266,4445.00,0,0,0,0,0,0,0,0,0,289.00,0,0,446,3990.00,0,0,0,0,0,0,400.00,0,0,224.00,0,0
1067,2026,Chittoor,Bangarupalem,1057008,475,7815.00,0,0,0,0,0,0,0,0,0,511.00,0,0,469,7685.00,0,0,0,0,0,0,0,0,0,504.00,0,0,476,7775.00,0,0,0,0,0,0,0,0,0,510.00,0,0,468,7620.00,0,0,0,0,0,0,0,0,0,485.00,0,0
1068,2026,Chittoor,Bangarupalem,1057009,362,5575.00,0,0,0,0,0,0,310.00,0,0,386.00,0,0,368,5950.00,0,0,0,0,0,0,0,0,0,392.00,0,0,379,6115.00,0,0,0,0,0,0,0,0,0,401.00,0,0,356,5527.00,0,0,0,0,0,0,326.00,0,0,55.00,0,0
1069,2026,Chittoor,Bangarupalem,1057010,354,5537.00,0,0,0,0,0,0,208.00,0,0,376.00,0,0,363,5845.00,0,0,0,0,0,0,0,0,0,384.00,0,0,354,5840.00,0,0,0,0,0,0,0,0,0,377.00,0,0,363,5359.00,0,0,0,0,0,0,605.00,0,0,23.00,0,0
1070,2026,Chittoor,Bangarupalem,1057011,916,14915.00,0,0,0,0,0,0,0,0,0,976.00,0,0,911,14925.00,0,0,0,0,0,0,0,0,0,971.00,0,0,915,15015.00,0,0,0,0,0,0,0,0,0,975.00,0,0,920,13100.00,0,0,0,0,0,0,2000.00,0,0,983.00,0,0
1071,2026,Chittoor,Bangarupalem,1057012,429,7125.00,0,0,0,0,0,0,0,0,0,465.00,0,0,422,7120.00,0,0,0,0,0,0,0,0,0,458.00,0,0,442,7545.00,0,0,0,0,0,0,0,0,0,482.00,0,0,427,7095.00,0,0,0,0,0,0,0,0,3.00,454.00,0,0
1072,2026,Chittoor,Bangarupalem,1057013,243,3775.00,0,0,0,0,0,0,0,0,0,261.00,0,0,257,4030.00,0,0,0,0,0,0,0,0,0,275.00,0,0,261,4065.00,0,0,0,0,0,0,0,0,0,278.00,0,0,246,3860.00,0,0,0,0,0,0,0,0,0,55.00,0,0
1073,2026,Chittoor,Bangarupalem,1057014,447,6978.00,0,0,0,0,0,0,248.00,0,0,461.00,0,0,443,7285.00,0,0,0,0,0,0,0,0,0,455.00,0,0,449,7315.00,0,0,0,0,0,0,0,0,0,461.00,0,0,441,6579.00,0,0,0,0,0,0,575.00,0,0,450.00,0,0
1074,2026,Chittoor,Bangarupalem,1057015,235,3578.00,0,0,0,0,0,0,48.00,0,0,245.00,0,0,218,3340.00,0,0,0,0,0,0,0,0,0,228.00,0,0,222,3350.00,0,0,0,0,0,0,0,0,0,230.00,0,0,224,2942.00,0,0,0,0,0,0,452.00,0,0,234.00,0,0
1075,2026,Chittoor,Bangarupalem,1057016,108,1750.00,0,0,0,0,0,0,0,0,0,116.00,0,0,111,1765.00,0,0,0,0,0,0,0,0,0,119.00,0,0,111,1755.00,0,0,0,0,0,0,0,0,0,118.00,0,0,113,1468.00,0,0,0,0,0,0,300.00,0,0,120.00,0,0
1076,2026,Chittoor,Bangarupalem,1057017,219,3642.00,0,0,0,0,0,0,73.00,0,0,232.00,0,0,214,3720.00,0,0,0,0,0,0,0,0,0,228.00,0,0,221,3763.00,0,0,0,0,0,0,0,0,2.00,233.00,0,0,212,3203.00,0,0,0,0,0,0,427.00,0,0,225.00,0,0
1077,2026,Chittoor,Bangarupalem,1057018,318,4652.00,0,0,0,0,0,0,200.00,0,0,321.00,0,0,309,4710.00,0,0,0,0,0,0,0,0,0,322.00,0,0,295,4710.00,0,0,0,0,0,0,0,0,0,308.00,0,0,311,4308.00,0,0,0,0,0,0,600.00,0,0,0,0,0
1078,2026,Chittoor,Bangarupalem,1057019,365,5382.00,0,0,0,0,0,0,217.00,0,0,386.00,0,0,351,5360.00,0,0,0,0,0,0,0,0,0,367.00,0,0,358,5540.00,0,0,0,0,0,0,0,0,0,377.00,0,0,352,4612.00,0,0,0,0,0,0,783.00,0,0,367.00,0,0
1079,2026,Chittoor,Bangarupalem,1057020,365,5600.00,0,0,0,0,0,0,0,0,0,380.00,0,0,383,5775.00,0,0,0,0,0,0,0,0,0,369.00,0,0,383,5820.00,0,0,0,0,0,0,0,0,0,378.00,0,0,359,4802.00,0,0,0,0,0,0,700.00,0,0,0,0,0
1080,2026,Chittoor,Bangarupalem,1057021,277,4650.00,0,0,0,0,0,0,0,0,0,299.00,0,0,285,4720.00,0,0,0,0,0,0,0,0,0,304.00,0,0,290,4805.00,0,0,0,0,0,0,0,0,0,310.00,0,0,290,4805.00,0,0,0,0,0,0,0,0,0,311.00,0,0
1081,2026,Chittoor,Bangarupalem,1057022,381,6340.00,0,0,0,0,0,0,0,0,0,414.00,0,0,411,6395.00,0,0,0,0,0,0,0,0,0,415.00,0,0,387,6450.00,0,0,0,0,0,0,0,0,0,421.00,0,0,374,6180.00,0,0,0,0,0,0,0,0,0,401.00,0,0
1082,2026,Chittoor,Bangarupalem,1057023,398,6160.00,0,0,0,0,0,0,275.00,0,0,402.00,0,0,385,6455.00,0,0,0,0,0,0,0,0,0,398.00,0,0,381,6355.00,0,0,0,0,0,0,0,0,0,402.00,0,0,382,5770.00,0,0,0,0,0,0,725.00,0,0,13.00,0,0
1083,2026,Chittoor,Bangarupalem,1057024,266,4190.00,0,0,0,0,0,0,0,0,0,279.00,0,0,272,4320.00,0,0,0,0,0,0,0,0,0,285.00,0,0,269,4250.00,0,0,0,0,0,0,0,0,0,282.00,0,0,330,4215.00,0,0,0,0,0,0,0,0,0,232.00,0,0
1084,2026,Chittoor,Bangarupalem,1057025,300,4921.00,0,0,0,0,0,0,19.00,0,0,325.00,0,0,287,4765.00,0,0,0,0,0,0,0,0,0,307.00,0,0,301,4940.00,0,0,0,0,0,0,0,0,0,325.00,0,0,305,4659.00,0,0,0,0,0,0,381.00,0,0,20.00,0,0
1085,2026,Chittoor,Bangarupalem,1057026,427,6859.00,0,0,0,0,0,0,108.00,0,0,455.00,0,0,409,6740.00,0,0,0,0,0,0,0,0,0,413.00,0,0,422,6875.00,0,0,0,0,0,0,0,0,0,443.00,0,0,460,6881.00,0,0,0,0,0,0,142.00,0,0,406.00,0,0
1086,2026,Chittoor,Bangarupalem,1057027,357,5334.00,0,0,0,0,0,0,461.00,0,0,379.00,0,0,355,5860.00,0,0,0,0,0,0,0,0,0,379.00,0,0,362,5925.00,0,0,0,0,0,0,0,0,0,370.00,0,0,369,5153.00,0,0,0,0,0,0,539.00,0,0,357.00,0,0
1087,2026,Chittoor,Bangarupalem,1057028,153,2480.00,0,0,0,0,0,0,70.00,0,0,162.00,0,0,145,2375.00,0,0,0,0,0,0,0,0,0,152.00,0,0,160,2609.00,0,0,0,0,0,0,0,0,32.00,168.00,0,0,156,2402.00,0,0,0,0,0,0,230.00,0,0,26.00,0,0
1088,2026,Chittoor,Bangarupalem,1057029,239,4166.00,0,0,0,0,0,0,47.00,0,0,256.00,0,0,236,4150.00,0,0,0,0,0,0,0,0,0,253.00,0,0,227,4020.00,0,0,0,0,0,0,0,0,0,244.00,0,0,235,3694.00,0,0,0,0,0,0,453.00,0,0,252.00,0,0
1089,2026,Chittoor,Bangarupalem,1057030,341,5794.00,0,0,0,0,0,0,206.00,0,0,371.00,0,0,333,5795.00,0,0,0,0,0,0,0,0,0,362.00,0,0,338,5926.00,0,0,0,0,0,0,0,0,19.00,368.00,0,0,329,5544.00,0,0,0,0,0,0,256.00,0,0,360.00,0,0
1090,2026,Chittoor,Bangarupalem,1057031,1537,25780.00,0,0,0,0,0,0,0,0,0,1616.00,0,0,1513,25485.00,0,0,0,0,0,0,0,0,0,1583.00,0,0,1500,25095.00,0,0,0,0,0,0,0,0,0,1575.00,0,0,1524,25530.00,0,0,0,0,0,0,0,0,0,1529.00,0,0
1091,2026,Chittoor,Bangarupalem,1057032,227,3555.00,0,0,0,0,0,0,0,0,0,240.00,0,0,222,3535.00,0,0,0,0,0,0,0,0,0,237.00,0,0,226,3565.00,0,0,0,0,0,0,0,0,0,240.00,0,0,224,3565.00,0,0,0,0,0,0,0,0,0,4.00,0,0
1092,2026,Chittoor,Bangarupalem,1057033,515,8285.00,0,0,0,0,0,0,0,0,0,549.00,0,0,506,8210.00,0,0,0,0,0,0,0,0,0,540.00,0,0,516,8355.00,0,0,0,0,0,0,0,0,0,550.00,0,0,512,8225.00,0,0,0,0,0,0,0,0,0,25.00,0,0
1093,2026,Chittoor,Bangarupalem,1057034,237,3735.00,0,0,0,0,0,0,0,0,0,249.00,0,0,252,3965.00,0,0,0,0,0,0,0,0,0,261.00,0,0,261,4055.00,0,0,0,0,0,0,0,0,0,272.00,0,0,235,3700.00,0,0,0,0,0,0,0,0,0,11.00,0,0
1094,2026,Chittoor,Bangarupalem,1057035,104,1620.00,0,0,0,0,0,0,130.00,0,0,114.00,0,0,100,1690.00,0,0,0,0,0,0,0,0,0,110.00,0,0,104,1716.00,0,0,0,0,0,0,0,0,24.00,114.00,0,0,102,1440.00,0,0,0,0,0,0,270.00,0,0,111.00,0,0
1095,2026,Chittoor,Bangarupalem,1057036,186,3039.00,0,0,0,0,0,0,46.00,0,0,201.00,0,0,200,3300.00,0,0,0,0,0,0,0,0,0,216.00,0,0,206,3415.00,0,0,0,0,0,0,0,0,0,221.00,0,0,196,2805.00,0,0,0,0,0,0,454.00,0,0,212.00,0,0
1096,2026,Chittoor,Bangarupalem,1057037,376,6565.00,0,0,0,0,0,0,0,0,0,411.00,0,0,366,6340.00,0,0,0,0,0,0,0,0,0,397.00,0,0,369,6510.00,0,0,0,0,0,0,0,0,0,403.00,0,0,382,6700.00,0,0,0,0,0,0,0,0,0,413.00,0,0
1097,2026,Chittoor,Bangarupalem,1057038,204,3670.00,0,0,0,0,0,0,0,0,0,218.00,0,0,194,3560.00,0,0,0,0,0,0,0,0,0,209.00,0,0,195,3570.00,0,0,0,0,0,0,0,0,0,212.00,0,0,198,3545.00,0,0,0,0,0,0,0,0,0,210.00,0,0
1098,2026,Chittoor,Bangarupalem,1057039,515,8156.00,0,0,0,0,0,0,0,0,0,533.00,0,0,506,8145.00,0,0,0,0,0,0,0,0,0,530.00,0,0,510,8195.00,0,0,0,0,0,0,0,0,0,533.00,0,0,507,8180.00,0,0,0,0,0,0,0,0,0,531.00,0,0
1099,2026,Chittoor,Bangarupalem,1057040,550,9740.00,0,0,0,0,0,0,0,0,0,593.00,0,0,550,9780.00,0,0,0,0,0,0,0,0,0,570.00,0,0,554,9780.00,0,0,0,0,0,0,0,0,0,599.00,0,0,557,9770.00,0,0,0,0,0,0,0,0,0,542.00,0,0
1100,2026,Chittoor,Bangarupalem,1057041,585,10255.00,0,0,0,0,0,0,0,0,0,22.00,0,0,587,10385.00,0,0,0,0,0,0,0,0,0,587.00,0,0,590,10322.00,0,0,0,0,0,0,0,0,0,608.00,0,0,600,10393.00,0,0,0,0,0,0,0,0,41.00,620.00,0,0
1101,2026,Chittoor,Bangarupalem,1057042,487,7895.00,0,0,0,0,0,0,231.00,0,0,507.00,0,0,473,7955.00,0,0,0,0,0,0,0,0,0,507.00,0,0,473,7955.00,0,0,0,0,0,0,0,0,0,507.00,0,0,489,7700.00,0,0,0,0,0,0,363.00,0,0,507.00,0,0
1102,2026,Chittoor,Bangarupalem,1057043,124,1940.00,0,0,0,0,0,0,0,0,0,130.00,0,0,130,2020.00,0,0,0,0,0,0,0,0,0,139.00,0,0,132,1960.00,0,0,0,0,0,0,0,0,0,140.00,0,0,134,1990.00,0,0,0,0,0,0,150.00,0,0,100.00,0,0
1103,2026,Chittoor,Bangarupalem,1057044,394,6715.00,0,0,0,0,0,0,0,0,0,415.00,0,0,397,6665.00,0,0,0,0,0,0,0,0,0,414.00,0,0,410,6930.00,0,0,0,0,0,0,0,0,0,427.00,0,0,385,6174.00,0,0,0,0,0,0,332.00,0,6.00,402.00,0,0
1104,2026,Chittoor,Bangarupalem,1057045,864,14831.00,0,0,0,0,0,0,0,0,0,906.00,0,0,886,15325.00,0,0,0,0,0,0,0,0,0,929.00,0,0,860,14865.00,0,0,0,0,0,0,0,0,0,898.00,0,0,880,15195.00,0,0,0,0,0,0,0,0,0,74.00,0,0
1105,2026,Chittoor,Bangarupalem,1057046,364,6260.00,0,0,0,0,0,0,0,0,0,390.00,0,0,379,6510.00,0,0,0,0,0,0,0,0,0,404.00,0,0,391,6705.00,0,0,0,0,0,0,0,0,0,418.00,0,0,380,6256.00,0,0,0,0,0,0,309.00,0,0,27.00,0,0
1106,2026,Chittoor,Bangarupalem,1057047,433,7615.00,0,0,0,0,0,0,0,0,0,460.00,0,0,421,7450.00,0,0,0,0,0,0,0,0,0,444.00,0,0,403,7220.00,0,0,0,0,0,0,0,0,0,423.00,0,0,396,7010.00,0,0,0,0,0,0,0,0,0,419.00,0,0
1107,2026,Chittoor,Bangarupalem,1057048,308,5155.00,0,0,0,0,0,0,0,0,0,321.00,0,0,315,5220.00,0,0,0,0,0,0,0,0,0,324.00,0,0,315,5335.00,0,0,0,0,0,0,0,0,0,329.00,0,0,308,5215.00,0,0,0,0,0,0,0,0,0,26.00,0,0
1108,2026,Chittoor,Bangarupalem,1057049,394,6376.00,0,0,0,0,0,0,316.00,0,0,408.00,0,0,382,6620.00,0,0,0,0,0,0,0,0,0,402.00,0,0,392,6615.00,0,0,0,0,0,0,0,0,0,408.00,0,0,395,6453.00,0,0,0,0,0,0,287.00,0,0,409.00,0,0
1109,2026,Chittoor,Bangarupalem,1057050,222,3757.00,0,0,0,0,0,0,28.00,0,0,246.00,0,0,223,3840.00,0,0,0,0,0,0,0,0,0,246.00,0,0,211,3635.00,0,0,0,0,0,0,0,0,0,236.00,0,0,217,3548.00,0,0,0,0,0,0,92.00,0,0,237.00,0,0
1110,2026,Chittoor,Bangarupalem,1057051,241,4120.00,0,0,0,0,0,0,0,0,0,261.00,0,0,230,3970.00,0,0,0,0,0,0,0,0,0,213.00,0,0,249,4330.00,0,0,0,0,0,0,0,0,0,267.00,0,0,239,4110.00,0,0,0,0,0,0,0,0,0,0,0,0
1111,2026,Chittoor,Bangarupalem,1057052,144,2295.00,0,0,0,0,0,0,0,0,0,151.00,0,0,137,2235.00,0,0,0,0,0,0,0,0,0,141.00,0,0,143,2305.00,0,0,0,0,0,0,0,0,0,149.00,0,0,138,2175.00,0,0,0,0,0,0,0,0,0,145.00,0,0
1112,2026,Chittoor,Bangarupalem,1057053,669,8974.00,0,0,0,0,0,0,192.00,0,0,568.00,0,0,498,8855.00,0,0,0,0,0,0,0,0,0,535.00,0,0,505,9045.00,0,0,0,0,0,0,0,0,0,546.00,0,0,515,8326.00,0,0,0,0,0,0,513.00,0,0,490.00,0,0
1113,2026,Chittoor,Bangarupalem,1057054,233,4035.00,0,0,0,0,0,0,0,0,0,212.00,0,0,266,4350.00,0,0,0,0,0,0,0,0,0,220.00,0,0,252,4195.00,0,0,0,0,0,0,0,0,0,256.00,0,0,295,4240.00,0,0,0,0,0,0,0,0,0,127.00,0,0
1114,2026,Chittoor,Bangarupalem,1057055,344,6145.00,0,0,0,0,0,0,0,0,0,356.00,0,0,347,6165.00,0,0,0,0,0,0,0,0,0,359.00,0,0,344,6165.00,0,0,0,0,0,0,0,0,0,357.00,0,0,345,6165.00,0,0,0,0,0,0,0,0,0,354.00,0,0
1115,2026,Chittoor,Bangarupalem,1057056,404,6780.00,0,0,0,0,0,0,0,0,0,424.00,0,0,403,6975.00,0,0,0,0,0,0,0,0,0,426.00,0,0,403,6955.00,0,0,0,0,0,0,0,0,0,422.00,0,0,410,6930.00,0,0,0,0,0,0,0,0,0,422.00,0,0
1116,2026,Chittoor,Bangarupalem,1061001,476,9015.00,0,0,0,0,0,0,300.00,0,0,539.00,0,0,473,9365.00,0,0,0,0,0,0,0,0,0,534.00,0,0,459,8715.00,0,0,0,0,0,0,0,0,500.00,510.00,0,0,482,9033.00,0,0,0,0,0,0,300.00,0,0,540.00,0,0
